|player_id|player_name|player_preferred_position|player_preferred_number|player_minutes|wavg_player_rating|offsides|shots_total|shots_on_goal|goals_total|goals_conceded|goals_assists|goals_saves|passes_total|passes_key|passes_completed|tackles_total|tackles_blocks|tackles_interceptions|tackles_total_padj|tackles_blocks_padj|tackles_interceptions_padj|duels_total|duels_won|dribbles_attemps|dribbles_success|dribbles_past|dribbles_past_padj|fouls_drawn|fouls_committed|fouls_committed_padj|cards_yellow|cards_red|penalty_won|penalty_committed|penalty_scored|penalty_missed|penalty_saved
2587|11961|Jorge Gatica|F|6|925|6.95422077922078|0|10|2|0|0|4|0|311|10|21.03|21|0|17|26.731995982704102|0.0|19.89486342818633|82|38|4|4|12|15.178429043107753|6|19|23.536312370010737|2|1|0|0|0|0|0
2588|11962|Renato Gonzalez|M|7|375|6.788799999999999|0|10|3|2|0|0|0|100|7|61.65999999999999|0|0|0|0.0|0.0|0.0|45|21|13|8|6|6.539928317512403|9|3|2.973748974569319|0|0|0|0|0|0|0
2589|11971|Gonzalo Villagra|M|4|441|6.649433106575964|0|2|0|0|0|0|0|130|1|95.47999999999999|5|5|13|5.8036924884750976|5.941966867718747|15.536728013231771|40|19|1|1|4|4.750474158368895|9|10|11.988795682404705|0|0|0|0|0|0|0
2590|11974|Miguel Curiel|F|14|927|7.04336569579288|0|38|14|5|0|0|0|117|10|71.71|10|0|3||||149|75|6|4|4||19|18||2|0|0|0|1|0|0
2591|11984|Zacarias Lopez|G|17|528|7.050378787878787|0|0|0|0|8|0|19|151|0|3.31|1|0|1|0.7936507936507936|0.0|0.8474576271186441|3|2|0|0|0|0.0|1|1|0.78125|1|0|0|0|0|0|0
2592|11986|Marko Biskupovic|D|5|584|6.872945205479452|0|0|0|0|0|0|0|141|0|106.4|10|3|10|10.351216244073386|3.1963340891912315|10.809540988112417|24|11|3|3|2|2.4489795918367347|2|7|7.297979797979798|1|0|0|0|0|0|0
2593|11987|Rodrigo Brito|D|6|1025|6.778829268292682|0|0|0|0|0|0|0|452|0|19.37|10|5|30|10.238326506808532|4.735756047231457|31.223093088200976|59|33|6|5|2|2.5062656641604013|6|9|9.277921695237255|2|0|0|0|0|0|0
2594|11993|Enzo Ruiz|M|33|720|7.1125|1|17|5|1|0|2|0|192|10|140.0|9|6|14|9.055879751477757|6.402689687573409|15.007487667371388|0|0|3|1|10|10.288114893596623|11|12|12.6515451141697|0|0|0|0|0|0|0
2595|12001|Danilo Catalan|M|19|73|6.561643835616438|0|1|0|0|0|0|0|31|1|27.69|0|0|2|0.0|0.0|2.0718816067653276|0|0|2|1|1|1.1627906976744187|3|1|1.1627906976744187|0|0|0|0|0|0|0
2596|12004|Kevin Medel|M|5|2327|6.789720430107527|0|21|2|0|0|2|0|1153|20|632.39|24|1|32|24.200133266007658|1.1627906976744187|31.988644756603883|133|63|33|25|31|32.33711318031539|13|15|15.210576717335545|2|1|0|0|0|0|0
2597|12008|Lucas Pittinari|M|18|1424|6.88027477919529|0|15|4|0|4|3|0|308|10|220.79|19|3|33|21.40418353576248|3.6315789473684212|41.07147270127865|100|39|3|1|17|19.47716521964128|10|29|32.76237878774958|4|0|0|0|0|0|0
